ID,County,2000Population,CountySeat,StateAbbreviation,StateName
562,Appanoose County,13721,Centerville ,IA
563,Lucas County,9422,Chariton ,IA
564,Floyd County,16900,Charles City ,IA
565,Cherokee County,13035,Cherokee ,IA
566,Page County,16976,Clarinda ,IA
567,Wright County,14334,Clarion ,IA
568,Clinton County,50149,Clinton ,IA
569,Adams County,4482,Corning ,IA
570,Wayne County,6730,Corydon ,IA
571,Pottawattamie County,87704,Council Bluffs ,IA
572,Howard County,9932,Cresco ,IA
573,Union County,12309,Creston ,IA
574,Humboldt County,10381,Dakota City ,IA
575,Scott County,158668,Davenport ,IA
576,Winneshiek County,21310,Decorah ,IA
577,Crawford County,16942,Denison ,IA
578,Polk County,374601,Des Moines ,IA
579,Dubuque County,89143,Dubuque ,IA
580,Hardin County,18812,Eldora ,IA
581,Clayton County,18678,Elkader ,IA
582,Palo Alto County,10147,Emmetsburg ,IA
583,Emmet County,11027,Estherville ,IA
584,Jefferson County,16181,Fairfield ,IA
585,Winnebago County,11723,Forest City ,IA
586,Webster County,40235,Fort Dodge ,IA
587,Lee County,38052,Fort Madison ,IA
588,Hancock County,12100,Garner ,IA
589,Mills County,14547,Glenwood ,IA
590,Adair County,8243,Greenfield ,IA
591,Grundy County,12369,Grundy Center ,IA
592,Guthrie County,11353,Guthrie Center ,IA
593,Franklin County,10704,Hampton ,IA
594,Shelby County,13173,Harlan ,IA
595,Ida County,7837,Ida Grove ,IA
596,Buchanan County,21093,Independence ,IA
597,Warren County,40671,Indianola ,IA
598,Johnson County,111006,Iowa City ,IA
599,Greene County,10366,Jefferson ,IA
600,Van Buren County,7809,Keosauqua ,IA
601,Marion County,32052,Knoxville ,IA
602,Plymouth County,24849,Le Mars ,IA
603,Decatur County,8689,Leon ,IA
604,Harrison County,15666,Logan ,IA
605,Delaware County,18404,Manchester ,IA
606,Jackson County,20296,Maquoketa ,IA
607,Iowa County,15671,Marengo ,IA
608,Marshall County,39311,Marshalltown ,IA
609,Cerro Gordo County,46447,Mason City ,IA
610,Poweshiek County,18815,Montezuma ,IA
611,Ringgold County,5469,Mount Ayr ,IA
612,Henry County,20336,Mount Pleasant ,IA
613,Muscatine County,41722,Muscatine ,IA
614,Story County,79981,Nevada ,IA
615,Chickasaw County,13095,New Hampton ,IA
616,Jasper County,37213,Newton ,IA
617,Worth County,7909,Northwood ,IA
618,Monona County,10020,Onawa ,IA
619,Sioux County,31589,Orange City ,IA
620,Mitchell County,10874,Osage ,IA
621,Clarke County,9133,Osceola ,IA
622,Mahaska County,22335,Oskaloosa ,IA
623,Wapello County,36051,Ottumwa ,IA
624,Pocahontas County,8662,Pocahontas ,IA
625,O'Brien County,15102,Primghar ,IA
626,Montgomery County,11771,Red Oak ,IA
627,Lyon County,11763,Rock Rapids ,IA
628,Calhoun County,11115,Rockwell City ,IA
629,Sac County,11529,Sac City ,IA
630,Osceola County,7003,Sibley ,IA
631,Fremont County,8010,Sidney ,IA
632,Keokuk County,11400,Sigourney ,IA
633,Woodbury County,103877,Sioux City ,IA
634,Clay County,17372,Spencer ,IA
635,Dickinson County,16424,Spirit Lake ,IA
636,Buena Vista County,20411,Storm Lake ,IA
637,Cedar County,18187,Tipton ,IA
638,Tama County,18103,Toledo ,IA
639,Benton County,25308,Vinton ,IA
640,Louisa County,12183,Wapello ,IA
641,Washington County,20670,Washington ,IA
642,Black Hawk County,128012,Waterloo ,IA
643,Allamakee County,14675,Waukon ,IA
644,Bremer County,23325,Waverly ,IA
645,Hamilton County,16438,Webster City ,IA
646,Fayette County,22008,West Union ,IA
647,Madison County,14019,Winterset ,IA
648,Power County,7538,American Falls ,ID
